Date,Type,Spent,Received,Tax,Weight,COGSBasis
15/06/2019,Buy,194.17,0.00,5.83,56.70,0.00
17/06/2019,Buy,194.17,0.00,5.83,56.80,0.00
30/08/2019,Buy,485.44,0.00,14.56,121.80,0.00
29/10/2019,Buy,145.63,0.00,4.37,36.90,0.00
03/12/2019,Buy,485.44,0.00,14.56,122.70,0.00
10/12/2019,Buy,194.17,0.00,5.83,50.00,0.00
16/03/2020,Buy,291.26,0.00,8.74,70.10,0.00
05/06/2020,Buy,485.44,0.00,14.56,100.60,0.00
31/08/2020,Buy,971.84,0.00,29.16,179.20,0.00
03/09/2020,Buy,498.06,0.00,14.94,93.10,0.00
04/09/2020,Buy,195.15,0.00,5.85,36.60,0.00
15/11/2020,Sell,0.00,10.19,0.00,2.00,7.05
11/02/2021,Sell,0.00,833.08,0.00,175.00,653.66
24/02/2021,Sell,0.00,3257.93,0.00,700.00,3343.30
10/09/2023,Buy,486.41,0.00,14.59,79.80,0.00
26/09/2023,Buy,971.84,0.00,29.16,159.80,0.00
08/10/2023,Buy,971.84,0.00,29.16,165.60,0.00
02/11/2023,Buy,486.41,0.00,14.59,76.90,0.00
04/12/2023,Buy,971.84,0.00,29.16,148.20,0.00
12/03/2025,Buy,486.41,0.00,14.59,54.70,0.00
01/08/2025,Buy,971.84,0.00,29.16,96.40,0.00
30/08/2025,Buy,486.41,0.00,14.59,45.50,0.00
12/09/2025,Buy,486.41,0.00,14.59,43.10,0.00
30/10/2025,Buy,486.41,0.00,14.59,39.40,0.00
07/11/2025,Buy,486.41,0.00,14.59,39.10,0.00
02/12/2025,Buy,971.84,0.00,29.16,73.50,0.00
